rank,frequency,log(r),log(f)
1,13120,0.0,4.117933835039642
2,9225,0.3010299956639812,3.964966374831098
3,7414,0.47712125471966244,3.8700525816935447
4,6922,0.6020599913279624,3.8402315949581087
5,5930,0.6989700043360189,3.7730546933642626
6,5002,0.7781512503836436,3.699143687394484
7,3506,0.8450980400142568,3.544811911757776
8,3100,0.9030899869919435,3.4913616938342726
9,2987,0.9542425094393249,3.475235222604128
10,2914,1.0,3.4644895474339714
11,2589,1.0413926851582251,3.413132050434872
12,2567,1.0791812460476249,3.4094258686714434
13,2460,1.1139433523068367,3.3909351071033793
14,2281,1.146128035678238,3.3581252852766488
15,2250,1.1760912590556813,3.3521825181113627
16,2115,1.2041199826559248,3.325310371711061
17,1944,1.2304489213782739,3.288696260590256
18,1632,1.255272505103306,3.2127201544178425
19,1514,1.2787536009528289,3.180125875164054
20,1513,1.3010299956639813,3.179838928023187
21,1481,1.3222192947339193,3.1705550585212086
22,1454,1.3424226808222062,3.162564406523019
23,1415,1.3617278360175928,3.150756439860309
24,1341,1.380211241711606,3.127428777851599
25,1324,1.3979400086720377,3.121887985103681
26,1270,1.414973347970818,3.103803720955957
27,1263,1.4313637641589874,3.101403350555331
28,1258,1.4471580313422192,3.09968064110925
29,1168,1.462397997898956,3.0674428427763805
30,1158,1.4771212547196624,3.0637085593914173
31,1093,1.4913616938342726,3.038620161949703
32,1006,1.505149978319906,3.0025979807199086
33,978,1.5185139398778875,2.9903388547876015
34,942,1.5314789170422551,2.9740509027928774
35,909,1.5440680443502757,2.9585638832219674
36,872,1.5563025007672873,2.940516484932567
37,822,1.568201724066995,2.9148718175400505
38,811,1.5797835966168101,2.909020854211156
39,807,1.591064607026499,2.90687353472207
40,805,1.6020599913279623,2.9057958803678687
41,777,1.6127838567197355,2.890421018800914
42,756,1.6232492903979006,2.8785217955012063
43,738,1.6334684555795864,2.8680563618230415
44,736,1.6434526764861874,2.866877814337499
45,713,1.6532125137753437,2.8530895298518657
46,703,1.662757831681574,2.846955325019824
47,701,1.6720978579357175,2.8457180179666586
48,667,1.6812412373755872,2.824125833916549
49,652,1.6901960800285136,2.81424759573192
50,643,1.6989700043360187,2.808210972924222
51,633,1.7075701760979363,2.801403710017355
52,631,1.7160033436347992,2.8000293592441343
53,622,1.724275869600789,2.7937903846908188
54,589,1.7323937598229686,2.7701152947871015
55,566,1.7403626894942439,2.7528164311882715
56,564,1.7481880270062005,2.751279103983342
57,557,1.7558748556724915,2.745855195173729
58,543,1.7634279935629373,2.734799829588847
59,541,1.7708520116421442,2.7331972651065692
60,540,1.7781512503836436,2.7323937598229686
61,536,1.7853298350107671,2.72916478969277
62,512,1.792391689498254,2.709269960975831
63,511,1.7993405494535817,2.708420900134713
64,510,1.806179973983887,2.7075701760979363
65,499,1.8129133566428555,2.6981005456233897
66,498,1.8195439355418688,2.6972293427597176
67,495,1.8260748027008264,2.694605198933569
68,491,1.8325089127062364,2.6910814921229687
69,490,1.8388490907372552,2.690196080028514
70,484,1.845098040014257,2.6848453616444123
71,483,1.8512583487190752,2.683947130751512
72,483,1.8573324964312685,2.683947130751512
73,482,1.863322860120456,2.6830470382388496
74,480,1.8692317197309762,2.681241237375587
75,480,1.8750612633917,2.681241237375587
76,476,1.8808135922807914,2.677606952720493
77,465,1.8864907251724818,2.667452952889954
78,464,1.8920946026904804,2.6665179805548807
79,462,1.8976270912904414,2.6646419755561257
80,461,1.9030899869919435,2.663700925389648
81,460,1.9084850188786497,2.662757831681574
82,452,1.9138138523837167,2.655138434811382
83,450,1.919078092376074,2.6532125137753435
84,443,1.9242792860618816,2.6464037262230695
85,441,1.9294189257142926,2.6444385894678386
86,440,1.9344984512435677,2.6434526764861874
87,432,1.9395192526186185,2.635483746814912
88,425,1.9444826721501687,2.6283889300503116
89,423,1.9493900066449128,2.6263403673750423
90,420,1.954242509439325,2.6232492903979003
91,415,1.9590413923210936,2.6180480967120925
92,402,1.9637878273455553,2.60422605308447
93,401,1.968482948553935,2.603144372620182
94,400,1.9731278535996986,2.6020599913279625
95,398,1.9777236052888478,2.5998830720736876
96,398,1.9822712330395684,2.5998830720736876
97,394,1.9867717342662448,2.595496221825574
98,390,1.9912260756924949,2.591064607026499
99,389,1.99563519459755,2.5899496013257077
100,388,2.0,2.5888317255942073
101,387,2.0043213737826426,2.5877109650189114
102,381,2.0086001717619175,2.5809249756756194
103,381,2.012837224705172,2.5809249756756194
104,375,2.0170333392987803,2.574031267727719
105,364,2.0211892990699383,2.561101383649056
106,353,2.0253058652647704,2.5477747053878224
107,350,2.0293837776852097,2.5440680443502757
108,348,2.03342375548695,2.5415792439465807
109,346,2.037426497940624,2.5390760987927767
110,345,2.041392685158225,2.537819095073274
111,342,2.0453229787866576,2.534026106056135
112,338,2.0492180226701815,2.5289167002776547
113,334,2.0530784434834195,2.5237464668115646
114,321,2.0569048513364727,2.506505032404872
115,319,2.060697840353612,2.503790683057181
116,319,2.0644579892269186,2.503790683057181
117,317,2.0681858617461617,2.5010592622177517
118,315,2.0718820073061255,2.4983105537896004
119,314,2.0755469613925306,2.496929648073215
120,311,2.0791812460476247,2.4927603890268375
121,311,2.0827853703164503,2.4927603890268375
122,305,2.0863598306747484,2.484299839346786
123,301,2.089905111439398,2.4785664955938436
124,301,2.093421685162235,2.4785664955938436
125,301,2.0969100130080562,2.4785664955938436
126,300,2.100370545117563,2.4771212547196626
127,296,2.103803720955957,2.4712917110589387
128,295,2.1072099696478683,2.469822015978163
129,292,2.110589710299249,2.4653828514484184
130,292,2.113943352306837,2.4653828514484184
131,290,2.1172712956557644,2.462397997898956
132,288,2.12057393120585,2.459392487759231
133,277,2.123851640967086,2.4424797690644486
134,274,2.1271047983648077,2.437750562820388
135,272,2.130333768495006,2.4345689040341987
136,271,2.1335389083702174,2.432969290874406
137,266,2.1367205671564067,2.424881636631067
138,266,2.1398790864012365,2.424881636631067
139,266,2.143014800254095,2.424881636631067
140,265,2.146128035678238,2.423245873936808
141,260,2.1492191126553797,2.4149733479708178
142,260,2.1522883443830563,2.4149733479708178
143,258,2.155336037465062,2.41161970596323
144,256,2.1583624920952498,2.4082399653118496
145,253,2.161368002234975,2.403120521175818
146,253,2.164352855784437,2.403120521175818
147,249,2.167317334748176,2.3961993470957363
148,248,2.1702617153949575,2.3944516808262164
149,248,2.173186268412274,2.3944516808262164
150,248,2.1760912590556813,2.3944516808262164
151,246,2.1789769472931693,2.3909351071033793
152,245,2.1818435879447726,2.3891660843645326
153,245,2.184691430817599,2.3891660843645326
154,241,2.187520720836463,2.3820170425748683
155,240,2.1903316981702914,2.380211241711606
156,240,2.1931245983544616,2.380211241711606
157,239,2.1958996524092336,2.3783979009481375
158,237,2.1986570869544226,2.374748346010104
159,237,2.2013971243204513,2.374748346010104
160,237,2.2041199826559246,2.374748346010104
161,233,2.2068258760318495,2.367355921026019
162,233,2.2095150145426308,2.367355921026019
163,229,2.2121876044039577,2.359835482339888
164,227,2.214843848047698,2.3560258571931225
165,225,2.2174839442139063,2.3521825181113627
166,224,2.220108088040055,2.3502480183341627
167,224,2.2227164711475833,2.3502480183341627
168,221,2.225309281725863,2.3443922736851106
169,221,2.2278867046136734,2.3443922736851106
170,221,2.230448921378274,2.3443922736851106
171,218,2.2329961103921536,2.3384564936046046
172,217,2.2355284469075487,2.3364597338485296
173,217,2.2380461031287955,2.3364597338485296
174,217,2.2405492482826,2.3364597338485296
175,215,2.2430380486862944,2.3324384599156054
176,212,2.24551266781415,2.326335860928751
177,211,2.247973266361807,2.3242824552976926
178,210,2.250420002308894,2.322219294733919
179,210,2.2528530309798933,2.322219294733919
180,209,2.255272505103306,2.3201462861110542
181,209,2.2576785748691846,2.3201462861110542
182,209,2.2600713879850747,2.3201462861110542
183,208,2.2624510897304293,2.3180633349627615
184,207,2.2648178230095364,2.315970345456918
185,205,2.2671717284030137,2.311753861055754
186,205,2.2695129442179165,2.311753861055754
187,204,2.271841606536499,2.3096301674258988
188,204,2.27415784926368,2.3096301674258988
189,203,2.2764618041732443,2.307496037913213
190,202,2.278753600952829,2.305351369446624
191,201,2.2810333672477277,2.303196057420489
192,200,2.2833012287035497,2.3010299956639813
193,199,2.285557309007774,2.298853076409707
194,199,2.287801729930226,2.298853076409707
195,198,2.290034611362518,2.296665190261531
196,197,2.292256071356476,2.294466226161593
197,197,2.294466226161593,2.294466226161593
198,195,2.296665190261531,2.290034611362518
199,195,2.298853076409707,2.290034611362518
200,194,2.3010299956639813,2.287801729930226
201,193,2.303196057420489,2.285557309007774
202,193,2.305351369446624,2.285557309007774
203,192,2.307496037913213,2.2833012287035497
204,188,2.3096301674258988,2.27415784926368
205,185,2.311753861055754,2.2671717284030137
206,184,2.3138672203691533,2.2648178230095364
207,184,2.315970345456918,2.2648178230095364
208,182,2.3180633349627615,2.2600713879850747
209,182,2.3201462861110542,2.2600713879850747
210,182,2.322219294733919,2.2600713879850747
211,181,2.3242824552976926,2.2576785748691846
212,179,2.326335860928751,2.2528530309798933
213,179,2.3283796034387376,2.2528530309798933
214,179,2.330413773349191,2.2528530309798933
215,178,2.3324384599156054,2.250420002308894
216,178,2.3344537511509307,2.250420002308894
217,178,2.3364597338485296,2.250420002308894
218,178,2.3384564936046046,2.250420002308894
219,177,2.3404441148401185,2.247973266361807
220,174,2.342422680822206,2.2405492482826
221,173,2.3443922736851106,2.2380461031287955
222,173,2.346352974450639,2.2380461031287955
223,171,2.3483048630481607,2.2329961103921536
224,171,2.3502480183341627,2.2329961103921536
225,171,2.3521825181113627,2.2329961103921536
226,171,2.3541084391474008,2.2329961103921536
227,170,2.3560258571931225,2.230448921378274
228,169,2.357934847000454,2.2278867046136734
229,169,2.359835482339888,2.2278867046136734
230,168,2.361727836017593,2.225309281725863
231,167,2.3636119798921444,2.2227164711475833
232,166,2.3654879848909,2.220108088040055
233,166,2.367355921026019,2.220108088040055
234,166,2.369215857410143,2.220108088040055
235,165,2.3710678622717363,2.2174839442139063
236,165,2.3729120029701067,2.2174839442139063
237,163,2.374748346010104,2.2121876044039577
238,162,2.376576957056512,2.2095150145426308
239,160,2.3783979009481375,2.2041199826559246
240,159,2.380211241711606,2.2013971243204513
241,158,2.3820170425748683,2.1986570869544226
242,158,2.383815365980431,2.1986570869544226
243,158,2.385606273598312,2.1986570869544226
244,156,2.387389826338729,2.1931245983544616
245,155,2.3891660843645326,2.1903316981702914
246,155,2.3909351071033793,2.1903316981702914
247,155,2.392696953259666,2.1903316981702914
248,154,2.3944516808262164,2.187520720836463
249,154,2.3961993470957363,2.187520720836463
250,154,2.3979400086720375,2.187520720836463
251,153,2.399673721481038,2.184691430817599
252,153,2.401400540781544,2.184691430817599
253,153,2.403120521175818,2.184691430817599
254,152,2.404833716619938,2.1818435879447726
255,152,2.406540180433955,2.1818435879447726
256,152,2.4082399653118496,2.1818435879447726
257,151,2.4099331233312946,2.1789769472931693
