1,the,39446
2,of,22541
3,to,21481
4,and,20005
5,a,19763
6,in,18278
7,on,8105
8,is,8066
9,for,7674
10,that,6892
11,The,6146
12,with,5980
13,was,5717
14,Hide,4740
15,Caption,4739
16,at,4550
17,as,4531
18,from,4035
19,are,3837
20,his,3432
21,I,3397
22,have,3373
23,it,3373
24,by,3304
25,be,3240
26,he,2995
27,an,2946
28,you,2596
29,has,2589
30,her,2531
31,or,2498
32,this,2322
33,who,2280
34,their,2173
35,about,2158
36,not,2157
37,she,2075
38,but,2037
39,they,1983
40,more,1966
41,one,1854
42,can,1667
43,up,1657
44,A,1642
45,your,1637
46,been,1599
47,when,1587
48,were,1581
49,we,1578
50,had,1531
51,will,1483
52,In,1454
53,than,1429
54,like,1415
55,said,1413
56,people,1409
57,out,1405
58,CNN,1378
59,after,1361
60,which,1335
61,He,1260
62,all,1252
63,would,1236
64,into,1205
65,also,1170
66,first,1159
67,just,1157
68,my,1139
69,what,1138
70,most,1125
71,its,1124
72,But,1069
73,other,1047
74,our,1029
75,so,1016
76,could,987
77,2016,972
78,It,967
79,over,949
80,some,941
81,years,930
82,New,928
83,new,924
84,two,919
85,She,918
86,if,900
87,get,870
88,More,850
89,before,832
90,time,820
91,no,804
92,how,798
93,do,796
94,there,786
95,says,770
96,through,757
97,found,756
98,only,756
99,Clinton,729
100,may,721
