rank,frequency,log(r),log(f)
1,5952,0.0,3.7746629225378223
2,5059,0.3010299956639812,3.7040646794085674
3,4740,0.47712125471966244,3.6757783416740852
4,3626,0.6020599913279624,3.5594277997594896
5,3009,0.6989700043360189,3.4784221877400805
6,2228,0.7781512503836436,3.3479151865016914
7,2108,0.8450980400142568,3.323870606540509
8,1978,0.9030899869919435,3.2962262872611605
9,1957,0.9542425094393249,3.2915908256580013
10,1893,1.0,3.277150613963797
11,1709,1.0413926851582251,3.232742062720737
12,1512,1.0791812460476249,3.1795517911651876
13,1373,1.1139433523068367,3.137670537236755
14,1191,1.146128035678238,3.0759117614827773
15,1077,1.1760912590556813,3.0322157032979815
16,1005,1.2041199826559248,3.002166061756508
17,946,1.2304489213782739,2.975891136401793
18,934,1.255272505103306,2.9703468762300935
19,930,1.2787536009528289,2.9684829485539352
20,807,1.3010299956639813,2.90687353472207
21,782,1.3222192947339193,2.893206753059848
22,777,1.3424226808222062,2.890421018800914
23,759,1.3617278360175928,2.88024177589548
24,738,1.380211241711606,2.8680563618230415
25,732,1.3979400086720377,2.864511081058392
26,710,1.414973347970818,2.8512583487190755
27,698,1.4313637641589874,2.843855422623161
28,692,1.4471580313422192,2.840106094456758
29,573,1.462397997898956,2.75815462196739
30,549,1.4771212547196624,2.739572344450092
31,521,1.4913616938342726,2.7168377232995247
32,512,1.505149978319906,2.709269960975831
33,497,1.5185139398778875,2.696356388733332
34,496,1.5314789170422551,2.6954816764901977
35,494,1.5440680443502757,2.693726948923647
36,490,1.5563025007672873,2.690196080028514
37,486,1.568201724066995,2.6866362692622934
38,485,1.5797835966168101,2.6857417386022635
39,484,1.591064607026499,2.6848453616444123
40,481,1.6020599913279623,2.682145076373832
41,475,1.6127838567197355,2.6766936096248664
42,475,1.6232492903979006,2.6766936096248664
43,471,1.6334684555795864,2.673020907128896
44,469,1.6434526764861874,2.6711728427150834
45,467,1.6532125137753437,2.6693168805661123
46,466,1.662757831681574,2.66838591669
47,466,1.6720978579357175,2.66838591669
48,456,1.6812412373755872,2.658964842664435
49,456,1.6901960800285136,2.658964842664435
50,453,1.6989700043360187,2.656098202012832
51,449,1.7075701760979363,2.6522463410033232
52,443,1.7160033436347992,2.6464037262230695
53,440,1.724275869600789,2.6434526764861874
54,439,1.7323937598229686,2.6424645202421213
55,410,1.7403626894942439,2.6127838567197355
56,406,1.7481880270062005,2.6085260335771943
57,402,1.7558748556724915,2.60422605308447
58,380,1.7634279935629373,2.57978359661681
59,379,1.7708520116421442,2.578639209968072
60,367,1.7781512503836436,2.5646660642520893
61,346,1.7853298350107671,2.5390760987927767
62,315,1.792391689498254,2.4983105537896004
63,313,1.7993405494535817,2.4955443375464483
64,312,1.806179973983887,2.494154594018443
65,304,1.8129133566428555,2.482873583608754
66,297,1.8195439355418688,2.4727564493172123
67,294,1.8260748027008264,2.4683473304121573
68,291,1.8325089127062364,2.4638929889859074
69,279,1.8388490907372552,2.4456042032735974
70,277,1.845098040014257,2.4424797690644486
71,272,1.8512583487190752,2.4345689040341987
72,269,1.8573324964312685,2.429752280002408
73,267,1.863322860120456,2.4265112613645754
